what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1300772745593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772755148
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772760676
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772763234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772788759
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1300772788787
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300772789695
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300772792052
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772797312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772867116
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1300772867942
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300772868811
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300772873239
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772875340
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772938740
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772944792
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772955893
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1300772956814
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300772958552
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300772964803
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773006794
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773011929
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773026407
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300773030143
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773036487
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773070500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773072434
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773083137
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300773085869
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773092114
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773101552
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773104993
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773214583
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300773215979
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1300773218839
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1300773220378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773231421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773244697
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773247200
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773248020
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773253560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773256493
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773259167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773267435
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1300773271164
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300773274079
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300773281078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300809701160
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300809705992
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300809708925
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300809723707
