what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.facelets",1297480497521
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.jstl",1297480497529
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.seam",1297480497530
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.jsf",1297480497531
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.myfaces",1297480497532
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.vpe.richfaces",1297480497533
stopped,bundle,org.jboss.tools.jst.css,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.css",1297480497540
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.0.0.v201003050540R-H56-GA,"org.jboss.tools.cdi.xml.ui",1297480497551
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.web.tiles.ui",1297480497568
stopped,bundle,org.jboss.tools.seam.ui.pages,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.seam.ui.pages",1297480497585
stopped,bundle,org.jboss.tools.seam.xml.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.seam.xml.ui",1297480497593
stopped,bundle,org.jboss.tools.struts.validator.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.struts.validator.ui",1297480497604
stopped,bundle,org.jboss.tools.struts.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.struts.ui",1297480497604
stopped,bundle,org.jboss.tools.jst.web.ui,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.web.ui",1297480497604
stopped,bundle,org.jboss.tools.struts.vpe.struts,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.struts.vpe.struts",1297480497612
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe.docbook",1297480497633
stopped,bundle,org.jboss.tools.vpe.html,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe.html",1297480497645
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe.jsp",1297480497655
stopped,bundle,org.jboss.tools.vpe,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe",1297480497655
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.vpe.ui.palette",1297480497657
stopped,bundle,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp",1297480497681
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1297480497704
stopped,bundle,org.jboss.tools.cdi.text.ext,1.0.0.v201003050540R-H56-GA,"org.jboss.tools.cdi.text.ext",1297480497712
stopped,bundle,org.jboss.tools.cdi.ui,1.0.0.v201003050540R-H56-GA,"org.jboss.tools.cdi.ui",1297480497717
stopped,bundle,org.jboss.tools.cdi.core,1.0.0.v201003050540R-H56-GA,"org.jboss.tools.cdi.core",1297480497729
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.text.ext.facelets",1297480497739
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.text.ext.richfaces",1297480497751
stopped,bundle,org.jboss.tools.jsf.text.ext,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.text.ext",1297480497767
stopped,bundle,org.jboss.tools.jsf.verification,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf.verification",1297480497767
stopped,bundle,org.jboss.tools.jsf,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jsf",1297480497767
